the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,
0101000020E6100000BEA756B3B8C952C08DAF6F2EF9074440,0101000020110F000070BCBBC2CBE95FC188563DA0BD985241,792,174748,Nw Middleton/Ogontz,yes,40.06229191,-75.15189823,19138
0101000020E610000061C87F053ACA52C0173B8D82F4F84340,0101000020110F000096EEE06CA7EA5FC1B6C965E016885241,793,174749,NW 11th/Pine,yes,39.94496185,-75.15979135,19107
0101000020E6100000E2105CA3CFC952C0ADB881FE3D084440,0101000020110F00002EBFF3B8F2E95FC1294405FD09995241,794,174750,Se Walnut Lane/Ogontz,no,40.06439191,-75.15329823,19138
0101000020E6100000E719A78DD4C952C04C25A7B73A084440,0101000020110F00000B234A12FBE95FC108B81E5A06995241,795,174752,Nw Walnut Lane/Ogontz,yes,40.06429191,-75.15359823,19138
0101000020E6100000CB1F45CA00CA52C09A0CE33093084440,0101000020110F0000CBA74A3646EA5FC16EBB1D8968995241,796,174753,Nw 74th/Ogontz,yes,40.06699191,-75.15629822,19138
0101000020E6100000D5A9C31D75CE52C0D01ED68329FA4340,0101000020110F00002DF7B82BD7F15FC1DE9283366D895241,797,174754,Se 52nd/Spruce,yes,39.95439194,-75.22589821,19143
0101000020E610000003886E7314CA52C09AB773FC12094440,0101000020110F00007F929F9B67EA5FC10669FC5CF6995241,798,174755,Nw 77th/Ogontz,yes,40.07089191,-75.15749822,19150
0101000020E6100000A2994D420CCA52C05877E8CDA4FD4340,0101000020110F0000757670B159EA5FC1D3A645E8488D5241,799,174757,Se Broad/Polett,yes,39.98159193,-75.15699823,19122
0101000020E6100000B5F60621EDCD52C0C041868D91044440,0101000020110F00002B0FC92EF0F05FC1A5047592F6945241,800,174758,Se Ridge/Fountain,yes,40.03569192,-75.21759821,19128
0101000020E61000009DC5D99E0ACA52C0D24A84E5CA084440,0101000020110F0000DF04F5E856EA5FC11DE15D5BA6995241,801,174759,Nw Washingtone Lane/Ogontz,yes,40.06869191,-75.15689822,19138
0101000020E61000006B88291A8EC952C0B4DB495833024440,0101000020110F000041B0316783E95FC174D4243856925241,802,174760,Ne Broad/Hunting Park,no,40.01719192,-75.14929823,19140
